"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
35,"NCT03343626","Safety, Immunogenicity and Dose Ranging Study of Inactivated Zika Virus Vaccine in Healthy Adult Participants",,"Active, not recruiting","No Results Available","Virus, Zika|Zika Virus Disease|Flavivirus Infections|Healthy Participants","Drug: Placebo|Biological: PIZV","Percentage of Participants With Solicited Local Injection Site Reactions Within 7 Days After Dose 1 of PIZV or Placebo|Percentage of Participants With Solicited Local Injection Site Reactions Within 7 Days After Dose 2 of PIZV or Placebo|Percentage of Participants With Solicited Systemic Adverse Events (AEs) Within 7 Days After Dose 1 of PIZV or Placebo|Percentage of Participants With Solicited Systemic AEs Within 7 Days After Dose 2 of PIZV or Placebo|Percentage of Participants who Experience at Least one Non-serious Unsolicited AE Within 28 Days After Dose 1 of PIZV or Placebo|Percentage of Participants who Experience at Least one Non-serious Unsolicited AE Within 28 Days After Dose 2 of PIZV or Placebo|Percentage of Participants who Experience at Least one Serious Adverse Event (SAE) Within 28 Days After Dose 1 of PIZV or Placebo|Percentage of Participants who Experience at Least one Serious Adverse Event (SAE) Within 28 Days After Dose 2 of PIZV or Placebo|Geometric Mean Neutralizing Antibody Titers (GMTs) of Zika Virus (ZIKV) 28 Days After Dose 2 of PIZV or Placebo|Percentage of Participants who Experience at Least one SAE During the Study|Geometric Mean Neutralizing Antibody Titers (GMTs) of ZIKV 28-days After Dose 1, 6, 12 and 24-months After Dose 2 in Applicable Groups|Seropositivity Rate for PIZV 28 Days After Dose 1, 28 Days After Dose 2, 6 Months, 12 Months and 24 Months After Dose 2 in Applicable Groups|Seroconversion Rate for PIZV 28 Days Post Dose 1 and 2","Takeda","All","18 Years to 49 Years   (Adult)","Phase 1","271","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Investigator, Outcomes Assessor)|Primary Purpose: Prevention","ZIK-101|U1111-1201-5778","November 13, 2017","December 28, 2018","November 19, 2020","November 17, 2017",,"March 26, 2019","Clinical Research of South Florida, Coral Gables, Florida, United States|Miami Research Associates, Miami, Florida, United States|AppleMed Research, Miami, Florida, United States|Johnson County Clin-Trials, Lenexa, Kansas, United States|Regional Clinical Research Inc., Endwell, New York, United States|Rochester Clinical Research, Rochester, New York, United States|Tekton Research, Austin, Texas, United States|Puerto Rico Clinical and Translational Research Consortium, San Juan, Puerto Rico|Ponce Medical School Foundation, Santurce, Puerto Rico",,"https://ClinicalTrials.gov/show/NCT03343626"
36,"NCT03227601","Effect of a Posture Adapter for 12 to 24-month Children With Zyka Virus Syndrome",,"Unknown status","No Results Available","Zika Virus","Device: posture adapter","Body Alignment|Motor function|Gastrointestinal function|Muscular tonus","Universidade Federal de Pernambuco","All","12 Months to 24 Months   (Child)","Not Applicable","20","Other","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","1808","July 20, 2017","October 19, 2017","August 31, 2018","July 24, 2017",,"July 24, 2017","Universidade Federal de Pernambuco, Recife, Pernambuco, Brazil",,"https://ClinicalTrials.gov/show/NCT03227601"
37,"NCT02794181","Zika Virus and Related Arbovirus Infections in Deferred Blood Donors (ZVADD)",,"Completed","No Results Available","Zika Virus|Dengue Virus|Chikungunya Virus Infections",,"Prevalence of ZIKV, DENV and CHIKV infection (RNA-positives) among travel-deferred adult blood donors in the study population.|Prevalence of ZIKV infection (RNApositives) among adult blood donors with a history of potential sexual exposure to ZIKV infection, in the study population.|24-week Natural History of ZIKV, DENV and CHIKV (RNA-positives).","National Institutes of Health Clinical Center (CC)","All","18 Years and older   (Adult, Older Adult)",,"34","NIH","Observational","Observational Model: Cohort|Time Perspective: Prospective","160124|16-CC-0124","June 8, 2016","March 14, 2019","March 14, 2019","June 9, 2016",,"March 18, 2019","National Institutes of Health Clinical Center, Bethesda, Maryland, United States",,"https://ClinicalTrials.gov/show/NCT02794181"
38,"NCT04118738","International Cohort Study of Children Born to Women Infected With Zika Virus During Pregnancy",,"Recruiting","No Results Available","Zika|Neurodevelopmental Abnormality|Hearing Loss|Growth Delay|Eye Abnormalities",,"Neurodevelopmental outcome at age18 months|Neurodevelopmental outcome at age 24 months|Neurodevelopmental outcome at age 30 months|Neurodevelopmental outcome at age 36 months|Neurodevelopmental outcome at age 42 months|Anthropometric Measurements: Height|Anthropometric Measurements: Weight|Anthropometric Measurements: Head circumference|Anthropometric Measurements: Mid upper arm circumference|Hearing assessment by Otoacustic Emissions (OAE) and Visual Reinforcement Audiometry (VRA)|Comprehensive ophthalmologic evaluation.","Westat|Eunice Kennedy Shriver National Institute of Child Health and Human Development (NICHD)|National Institute of Allergy and Infectious Diseases (NIAID)|Oswaldo Cruz Foundation (Fiocruz)","All","18 Months to 42 Months   (Child)",,"400","Other|NIH","Observational","Observational Model: Cohort|Time Perspective: Prospective","ZIP 2.0","June 12, 2019","July 2021","July 2021","October 8, 2019",,"October 8, 2019","Departamento de Medicina Tropical da Universidade Federal de Pernambuco- UFPE, Recife, Pernambuco, Brazil|Instituto Fernandes Figueira - FIOCRUZ, Rio De Janeiro, Brazil|Asociación Civil Selva Amazónica, Iquitos, Loreto, Peru|Puerto Rico Medical Center- Maternal Infant Studies Center (CEMI), San Juan, Puerto Rico",,"https://ClinicalTrials.gov/show/NCT04118738"
39,"NCT03776903","Evaluation of the Clinical Performance of the ZIKV Detect™ 2.0 IgM Capture ELISA",,"Completed","No Results Available","Zika Virus Infection","Other: ZIKV Detect™ 2.0 IgM Capture ELISA","Positive Percent Agreement and Negative Percent Agreement|Duration of Positive Percent Agreement","InBios International, Inc.|Fast-Track Drugs & Biologics, LLC|Biomedical Advanced Research and Development Authority","All","Child, Adult, Older Adult",,"600","Industry|Other|U.S. Fed","Observational","Observational Model: Cohort|Time Perspective: Other","ZIKV-2016-01","April 1, 2018","August 31, 2018","September 30, 2018","December 17, 2018",,"December 17, 2018","InBios International, Seattle, Washington, United States",,"https://ClinicalTrials.gov/show/NCT03776903"
40,"NCT02874456","Pilot Study to Detect Zika Virus in Sperm","ZIKSPERM","Completed","No Results Available","Viruses","Other: virus detection","presence of Zika virus on RNA by polymerase chain reaction","University Hospital, Toulouse|Centre Hospitalier Universitaire de Pointe-a-Pitre|Institut Pasteur","Male","18 Years to 45 Years   (Adult)","Not Applicable","15","Other|Industry","Interventional","Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Basic Science","RC31/16/7941","May 6, 2016","December 2017","December 2017","August 22, 2016",,"July 19, 2019","University Hospital, Pointe-à-Pitre, Guadeloupe",,"https://ClinicalTrials.gov/show/NCT02874456"
41,"NCT02943304","Neurodevelopment Outcome of Newborns Exposed to Zika Virus (ZIKV) in Utero","ZEN Iniciative","Recruiting","No Results Available","Microcephaly|Mental Retardation","Other: Symptomatic pregnant women with positive RT-PCR ZIKV in serum or urine, or a positive serologic test specific for ZIKV","Neurodevelopmental Outcome|Fetal CNS Impairment","Universidad Industrial de Santander|University of North Carolina, Chapel Hill|Michigan State University","Female","13 Years to 50 Years   (Child, Adult)",,"440","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","4110","May 2016","December 2019","December 2020","October 24, 2016",,"January 17, 2019","Hospital Universitario de Santander, Bucaramanga, Santander, Colombia",,"https://ClinicalTrials.gov/show/NCT02943304"
42,"NCT03110770","VRC 705: A Zika Virus DNA Vaccine in Healthy Adults and Adolescents","DNA","Completed","No Results Available","Zika Virus|Zika Virus Infection|Virus Diseases|Flavivirus Infections|Flaviviral Diseases|Flaviviridae Infections|RNA Virus Infections","Biological: VRC-ZKADNA090-00-VP|Other: VRC-PBSPLA043-00-VP","Local Reactogenicity (Part A and B)|Systemic Reactogenicity (Part A and B)|Laboratory measures (Part A)|Laboratory measures (Part B)|Serious adverse events (Part A)|Serious adverse events (Part B)|New chronic medical conditions (Part A)|New chronic medical conditions (Part B)|Confirmed cases of Dengue virus infection (Part A)|Confirmed cases of Dengue virus infection (Part B)|Unsolicited adverse events (Part A and B)|Confirmed cases of Zika with symptoms (Part B only)|Antibody response to VRC-ZKADNA090-00-VP (Part A and B)|Confirmed cases of Zika (Part B only)","National Institute of Allergy and Infectious Diseases (NIAID)|The Emmes Company, LLC|Leidos Biomedical Research, Inc.|FHI Clinical, Inc.|PPD","All","15 Years to 35 Years   (Child, Adult)","Phase 2","2338","NIH|Industry|Other","Interventional","Allocation: Randomized|Intervention Model: Sequential Assignment|Masking: Triple (Participant, Investigator, Outcomes Assessor)|Primary Purpose: Prevention","VRC 705","March 29, 2017","October 4, 2019","October 4, 2019","April 12, 2017",,"December 24, 2019","QPS-Miami Research Associates, Miami, Florida, United States|Doctors Hospital at Renaissance, Edinburg, Texas, United States|Baylor College of Medicine, Houston, Texas, United States|Hospital Das Clinicas Da Universidade Federal de Minas Gerais, Belo Horizonte, MG, Brazil|Centro de Pesquisas Clínicas Do Instituto Central Do Hospital Das Clínicas Da FMUSP, São Paulo, SP, Brazil|Clinica de la Costa Ltda, Barranquilla, Atlantico, Colombia|Centro de Atencion y Diagnostico de Enfermedades Infecciosas, Bucaramanga, Santander, Colombia|CCIM Costa Rican Center Center of Medical Research, Sociedad Anonima, San José, Los Yoses, Costa Rica|AGA Clinical Centro de Investigaciones, Guayaquil, Guayas, Ecuador|Hospital Civil Fray Antonio Alcalde, Guadalajara, Jalisco, Mexico|Instituto Conmemorativo Gorgas, Panamá, San Miguelito Province, Panama|Asociacion Civil Selva Amazonica, Iquitos, Maynas/Loreto, Peru|Unidad de Ensayos (UNIDEC) del Policlinico Universidad Nacional Mayor de San Marcos, Lima, Peru|Ponce Medical School Foundation Inc./CAIMED Center, Ponce, Puerto Rico|Fundación de Investigación de Diego, San Juan, Puerto Rico|San Juan Hospital Research Unit, San Juan, Puerto Rico|Puerto Rico Clinical and Translational Research Consortium, San Juan, Puerto Rico",,"https://ClinicalTrials.gov/show/NCT03110770"
43,"NCT03922594","Surveillance of Zika-related Microcephaly in Sub-Saharan Africa and Asia",,"Recruiting","No Results Available","Microcephaly|Congenital Infection","Diagnostic Test: Differential diagnosis for infectious causes of microcephaly","Incidence of microcephaly (per 10,000 live births)|Proportion of microcephaly attributable to ZIKV|Proportion of microcephaly linked to other infectious etiologies","Institut Pasteur|Centre Pasteur du Cameroun|Guangzhou Women and Children's Medical Center|Institut Pasteur de Côte d'Ivoire|Institut Pasteur Ho Chi Minh City|Tu Du Hospital|Perinatal Society of Sri Lanka|University of Colombo|University of Lausanne|University of Lausanne Hospitals|The University of Hong Kong|Ministry of Health of Sri Lanka|Central Hospital Maternity|Essos Hospital Center|Guangzhou Baiyun Maternal and Child Health Hospital|General Hospital of Yopougon-Attie|General Hospital Abobo-Sud|Castle Street Hospital for Women|De Soyza Hospital for Women","All","up to 2 Days   (Child)",,"125","Industry|Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","ZIKA_2016-102","May 20, 2019","June 2021","June 2021","April 22, 2019",,"June 25, 2019","Central Hospital Maternity, Yaoundé, Cameroon|Essos Hospital Centre Maternity, Yaoundé, Cameroon|Guangzhou Women's and Children's Hospital, Guangzhou, China|General Hospital Abobo-Sud, Abidjan, Côte D'Ivoire|General Hospital of Yopougon-Attie, Abidjan, Côte D'Ivoire|Castle Street Hospital for Women, Colombo, Sri Lanka|De Soyza Hospital for Women, Colombo, Sri Lanka|Tu Du Hospital, Ho Chi Minh City, Vietnam",,"https://ClinicalTrials.gov/show/NCT03922594"
44,"NCT03037164","INTERCEPT Blood System for RBCs Study in Regions at Potential Risk for Zika Virus Transfusion-Transmitted Infections","RedeS","Recruiting","No Results Available","Anemia","Device: INTERCEPT Blood System for Red Blood Cells|Device: Conventional (Control)","Adjusted hemoglobin increment averaged over multiple transfusions|Adverse Events|Treatment emergent antibodies|Adjusted hemoglobin consumption|Transfusion reactions|RBC allo-antigens|Mortality","Cerus Corporation","All","18 Years and older   (Adult, Older Adult)","Phase 3","600","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","CLI 00126","May 11, 2017","June 30, 2020","December 30, 2020","January 31, 2017",,"July 12, 2019","Mayo Clinic Jacksonville, Jacksonville, Florida, United States|OneBlood, Orlando, Florida, United States|Baylor St. Luke's Medical Center, Houston, Texas, United States|Virginia Commonwealth University, Richmond, Virginia, United States|Menonita General Hospital, Aibonito, Puerto Rico|HIMA San Pablo Hospital, Caguas, Puerto Rico|San Juan Bautista School of Medicine Clinical Research Unit, Caguas, Puerto Rico|Banco de Sangre de Servicios Mutuos, Inc. (BSSM), Guaynabo, Puerto Rico",,"https://ClinicalTrials.gov/show/NCT03037164"
45,"NCT02887482","Study of GLS-5700 in Dengue Virus Seropositive Adults",,"Completed","No Results Available","Healthy|Zika","Biological: GLS-5700|Biological: Placebo","Mean change from baseline in safety laboratory measures|Incidence of solicited adverse events after vaccination|Incidence of unsolicited adverse events after vaccination|Incidence of serious adverse events|Binding antibody titers to Zika envelope|Neutralizing antibody response against Zika virus|T cell response|Mean change from baseline for safety measures and adverse events","GeneOne Life Science, Inc.|Inovio Pharmaceuticals","All","18 Years to 65 Years   (Adult, Older Adult)","Phase 1","160","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Treatment","Zika-002","August 2016","October 2017","June 2018","September 2, 2016",,"December 5, 2018","Clinical Research of Puerto Rico, San Juan, Puerto Rico|Fundacion De Investigation, San Juan, Puerto Rico|University of Puerto Rico, San Juan, Puerto Rico",,"https://ClinicalTrials.gov/show/NCT02887482"
46,"NCT01386424","Screening for LID Clinical Studies Unit Healthy Volunteer Protocols",,"Recruiting","No Results Available","Zika|Influenza",,"Find Healthy volunteers for research","National Institute of Allergy and Infectious Diseases (NIAID)|National Institutes of Health Clinical Center (CC)","All","18 Years to 65 Years   (Adult, Older Adult)",,"5000","NIH","Observational","Observational Model: Other|Time Perspective: Prospective","110183|11-I-0183","July 20, 2011",,,"July 1, 2011",,"February 20, 2020","National Institutes of Health Clinical Center, 9000 Rockville Pike, Bethesda, Maryland, United States",,"https://ClinicalTrials.gov/show/NCT01386424"
47,"NCT03055585","Applying Wolbachia to Eliminate Dengue","AWED","Recruiting","No Results Available","Dengue|Zika Virus Infection|Chikungunya Fever","Biological: Wolbachia-infected Aedes aegypti mosquitoes|Other: standard practice dengue control","Dengue incidence rate ratio in Wolbachia-treated versus untreated clusters|Zika incidence rate ratio in Wolbachia-treated versus untreated clusters|Chikungunya incidence rate ratio in Wolbachia-treated versus untreated clusters","Gadjah Mada University|Monash University|The Tahija Foundation","All","3 Years to 45 Years   (Child, Adult)","Not Applicable","10000","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Prevention","UGM_KE/FK/105/EC","November 8, 2017","December 2019","December 2019","February 16, 2017",,"June 4, 2018","Faculty of Medicine, Universitas Gadjah Mada, Yogyakarta, DIY, Indonesia",,"https://ClinicalTrials.gov/show/NCT03055585"
48,"NCT02741882","Zika and Microcephaly: Case-control Study",,"Completed","No Results Available","Microcephaly","Other: Questionary","Zika virus infection clinical outcomes during pregnancy|zika virus serology|Chikungunya virus serology|Dengue virus serology","Laboratório Sabin","Female","16 Years and older   (Child, Adult, Older Adult)",,"110","Industry","Observational","Observational Model: Case-Control|Time Perspective: Retrospective","Zika and microcephaly","February 2016","August 2016","February 2017","April 18, 2016",,"February 23, 2017","Sabin laboratory, Brasilia, Distrito Federal, Brazil",,"https://ClinicalTrials.gov/show/NCT02741882"
49,"NCT01099852","Cohort of Patients Infected by an Arbovirus","CARBO","Recruiting","No Results Available","Fever|Dengue|Chikungunya|Zika Virus","Other: biological sample collection|Other: quality of life questionnaire EuroQol®|Other: Health Assessment Questionnaire - MDHAQ and RAPID3","Occurrence, during follow-up (for 12 weeks following symptom onset), of shock, internal bleeding, failure of one or several organs or systems (brain, heart, lung, liver, kidney, clotting system), or death.|Specific complications: Onset of hemorrhagic fever (dengue) Onset of encephalitis or neurological disorders (West Nile virus, Japanese encephalitis, Zika virus) Onset of chronic form (Chikungunya)","University Hospital Center of Martinique|Institut National de la Santé Et de la Recherche Médicale, France|Clinique Antilles-Guyane","All","Child, Adult, Older Adult",,"1377","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","09/B/08","June 2010","July 2021","July 2021","April 8, 2010",,"July 24, 2019","Hôpital Bichat-Claude Bernard, Paris, France|CH André Rosemond, Cayenne, French Guiana|CHU de Pointe à Pitre/Abymes, Pointe à Pitre, Guadeloupe|Centre Hospitalier Universitaire de Martinique, Fort-de-France, Martinique",,"https://ClinicalTrials.gov/show/NCT01099852"
50,"NCT03631719","Impact of Wolbachia Deployment on Arboviral Disease Incidence in Medellin and Bello, Colombia","WMP-COL","Recruiting","No Results Available","Dengue|Chikungunya Virus Infection|Zika Virus Infection","Biological: Wolbachia-carrying Ae.aegypti mosquitoes","Dengue cases notified to surveillance system|Virologically-confirmed dengue|IgM test positive for dengue|Severe dengue cases|Zika cases notified to surveillance system|Chikungunya cases notified to surveillance system|Spatial analysis|Virologically-confirmed chikungunya infection|Virologically-confirmed Zika infection","Universidad de Antioquia|Monash University|United States Agency for International Development (USAID)|Bill and Melinda Gates Foundation|Wellcome Trust","All","3 Years and older   (Child, Adult, Older Adult)",,"500","Other|U.S. Fed","Observational","Observational Model: Case-Control|Time Perspective: Prospective","PEC004_18|PECET-002","October 25, 2017","December 31, 2019","December 31, 2019","August 15, 2018",,"February 25, 2019","Universidad de Antioquia, Medellín, Antioquia, Colombia",,"https://ClinicalTrials.gov/show/NCT03631719"
51,"NCT03206541","Neurologic Manifestations of the Arbovirus Infection in Colombia",,"Completed","No Results Available","Encephalitis|Myelitis|Guillain-Barre Syndrome|Cranial Nerve Palsies|Meningitis|Zika Virus Infection|Dengue (Virus); Fever, Sandfly|Chikungunya Fever",,"Neurological outcomes in arbovirus infections|Viral genotype|Immune response","Johns Hopkins University|Universidad del Valle, Colombia|ZikaPLAN","All","8 Years and older   (Child, Adult, Older Adult)",,"570","Other","Observational","Observational Model: Case-Control|Time Perspective: Prospective","IRB00093149","January 1, 2016","December 31, 2019","December 31, 2019","July 2, 2017",,"February 20, 2020","Clinica Leon XIII, Medellín, Antioquia, Colombia|Neuroclinica, Medellín, Antioquia, Colombia|Clinica La Misericordia Internacional, Barranquilla, Atlantico, Colombia|Clinica Medilaser, Neiva, Huila, Colombia|Hospital Universitario de Neiva, Neiva, Huila, Colombia|Hospital Universitario de Narino, Pasto, Narino, Colombia|Hospital Universitario Erasmo Meoz, Cúcuta, Norte De Santander, Colombia|Hospital Universitario del Valle, Cali, Valle Del Cauca, Colombia",,"https://ClinicalTrials.gov/show/NCT03206541"
52,"NCT03641339","Defining Skin Immunity of a Bite of Key Insect Vectors in Humans",,"Completed","No Results Available","Zika|Dengue|Malaria|Chikungunya|Leishmaniasis","Other: Vector Feeding","To compare the early innate immune response in the skin of bitten (case) versus unbitten (control) skin for each of the three vector groups (Aedes, Anopheles, sand flies).|To characterize the local skin adaptive immune response after multiple exposures over time to bites of each of the three vector groups (Aedes, Anopheles, sand flies)|To analyze systemic immune response to vector salivary proteins in vector-naive participants in each group (Aedes, Anopheles, sand flies).|To analyze systemic immune response to vector salivary proteins in vector-experienced participants in each group (Aedes, Anopheles,sand flies).","National Institute of Allergy and Infectious Diseases (NIAID)|National Institutes of Health Clinical Center (CC)","All","18 Years to 64 Years   (Adult)","Not Applicable","95","NIH","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Basic Science","180139|18-I-0139","September 5, 2018","August 13, 2019","August 13, 2019","August 22, 2018",,"August 15, 2019","National Institutes of Health Clinical Center, Bethesda, Maryland, United States",,"https://ClinicalTrials.gov/show/NCT03641339"
53,"NCT02809443","Study of GLS-5700 in Healthy Volunteers",,"Completed","No Results Available","Healthy","Biological: GLS-5700","Mean change from baseline in safety laboratory measures|Incidence of solicited adverse events after vaccination|Incidence of unsolicited adverse events after vaccination|Incidence of serious adverse events|Binding antibody titers to Zika envelope|Neutralizing antibody response against Zika virus|T cell response","GeneOne Life Science, Inc.|Inovio Pharmaceuticals","All","18 Years to 65 Years   (Adult, Older Adult)","Phase 1","40","Industry","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Prevention","Zika-001","July 2016","November 2017","December 2017","June 22, 2016",,"August 1, 2018","Miami Research Associate, Miami, Florida, United States|University of Pennslyvania, Philadelphia, Pennsylvania, United States|CHU de Québec -Université Laval hopital CHUL Centre de Recherche en infectiologie, Quebec, Canada",,"https://ClinicalTrials.gov/show/NCT02809443"
54,"NCT03078894","A Pilot Study Examining for the Presence of Fecal Coliforms and Tropical Diseases in Peru",,"Unknown status","No Results Available","Tropical Disease","Diagnostic Test: Zika|Diagnostic Test: Chikagunya|Diagnostic Test: Dengue","The number of contaminated water bodies|Proportion of population with Zika, Dengue or Chikagunya infections","BioRed LLC","All","18 Years and older   (Adult, Older Adult)",,"100","Other","Observational","Observational Model: Cohort|Time Perspective: Retrospective","CUIRBTL231","March 17, 2017","May 1, 2017","May 1, 2017","March 14, 2017",,"March 31, 2017","BioRed, Patapo, Lambayeque, Peru|BioRed, Pucala, Lambayeque, Peru|BioRed, Tuman, Lambayeque, Peru|BioRed, Pomalca, Peru",,"https://ClinicalTrials.gov/show/NCT03078894"
55,"NCT03553277","Spatial Repellents for Arbovirus Control",,"Completed","No Results Available","Arbovirus Infections","Other: transfluthrin|Other: placebo","Incidence of DCZV infections|Aedes spp. pupal density|Aedes spp. adult density|Aedes spp. female blood fed density|Aedes spp. female parous density|Perception of product efficacy","University of Notre Dame|University of California, Davis","All","2 Years and older   (Child, Adult, Older Adult)","Not Applicable","15730","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Investigator, Outcomes Assessor)|Primary Purpose: Other","18-01-4370","June 2015","January 2019","January 2019","June 12, 2018",,"February 18, 2019","University of California, Davis, Iquitos, Peru",,"https://ClinicalTrials.gov/show/NCT03553277"
56,"NCT03534245","Investigating Vector-Borne Determinants of Aedes Transmitted Arboviral Infections in Cambodia: An Observational Longitudinal Cohort Study in Children",,"Active, not recruiting","No Results Available","Dengue Fever",,"Prevalence of symptomatic and inapparent dengue infection (serotypes 1-4) as detected semiannually via ELISA assay (binary outcome present/absent) over a three-year period in Kampong Speu in children aged 2-9 years old|Prevalence of Aedes aegypti salivary gland homogenate reactivity as detected by ELISA assay (binary outcome present/absent) during wet and dry seasons over a three-year period in Kampong Speu in children aged 2-9 years old|Western blot analysis of sera from participants with strongest ELISA positivity to Ae. aegypti whole salivary gland homogenate compared to Anopheles and Culex to assess cross-reactive immunogenicity to mosquito saliva versus specific Aedes marke...|Positive RT-PCR result for diagnosis of dengue, chikungunya, and Zika viruses (or IgM capture ELISAs for dengue as needed)|Geographic information system with all data components (mosquito catch sites, houses, schools) referenced by latitude and longitude in addition to a series of map layers (point maps, smoothed maps) to evaluate relationships between IgG intensity...|Seroconversion to Ae. aegypti salivary homogenate in relationship to season (wet versus dry) and collected time-dependent variables defined as mean and maximum rainfall, te,perature and humidity|Capture a minimum of 25 female Aedes aegypti mosquitoes for transcriptional comparison to LMVR-reared Aedes aegypti mosquitoes","National Institute of Allergy and Infectious Diseases (NIAID)|National Institutes of Health Clinical Center (CC)","All","2 Years to 9 Years   (Child)",,"775","NIH","Observational","Observational Model: Cohort|Time Perspective: Prospective","999918100|18-I-N100","May 16, 2018","September 30, 2021","September 30, 2021","May 23, 2018",,"July 17, 2019","Kampong Speu Referral Hospital, Chbar Mon, Kampong Speu, Cambodia",,"https://ClinicalTrials.gov/show/NCT03534245"
57,"NCT02957344","Parental Views Related to Colorado State Legislation About Vaccinations, Schools, and Child Care Centers",,"Completed","No Results Available","Healthy Children",,"Survey/Questionnaire of parental knowledge and attitudes related to vaccines, schools, and child care centers.","University of Colorado, Denver","Female","18 Years and older   (Adult, Older Adult)",,"679","Other","Observational","Observational Model: Ecologic or Community|Time Perspective: Cross-Sectional","11-1149a","August 2016","November 2016","November 2016","November 6, 2016",,"January 19, 2017","University of Colorado Denver, Aurora, Colorado, United States",,"https://ClinicalTrials.gov/show/NCT02957344"
